h,oc
0.069172997,34.2
0.07436411,16.7
0.076138501,18.5
0.070775331,15.6
0.077124042,13.2
0.070828905,33.7
0.073985637,17.4
0.073274984,11.6
0.073702671,16.7
0.068713656,34.5
0.069260418,11.1
0.086854194,26.1
0.071639177,12.7
0.078737072,15.2
0.06008725,63.9
0.068880544,30.7
0.067501846,15
0.065422642,18.4
0.069837555,18.5
0.067422839,17
0.084121658,13.8
0.077556125,15.7
0.068019753,16.2
0.06635666,18.3
0.066723727,19.5
0.076473318,11.5
0.069575059,14.2
0.071356555,13.5
0.074653346,13.7
0.075400067,15.9
0.075487038,20.4
0.07033239,19
0.086463046,8.9
0.071163675,18.7
0.070495806,17.1
0.069369546,21
0.069374106,15.9
0.070285455,18.6
0.063237354,14.9
0.070332753,27.4
0.087362834,10.1
0.069220111,14
0.06785091,18.7
0.065370766,20.4
0.068556674,13.7
0.064555693,55.8
0.070485348,9.5
0.069847994,21.1
0.08175182,9.5
0.078333592,22.3
0.067853488,12.5
0.060523238,47.5
0.069045891,14.8
0.068486542,18.3
0.070211312,15.5
0.068581806,19.3
0.071967663,17.8
0.075574911,12.1
0.068100823,18.6
0.067393543,20.2
0.067287195,20.5
0.068358901,19.1
0.067859479,21
0.070418567,23.3
0.067217488,23.5
0.069334977,24.3
0.069192472,20.3
0.067296476,20.4
0.066480705,43.7
0.07191094,15.8
0.067188027,16.8
0.067033945,37.7
0.070910772,14.8
0.067720923,32.7
0.071501714,15.1
0.068295913,16
0.068549,16.4
0.069461703,19.2
0.069577676,12
0.07043401,13.9
0.067799211,17.2
0.071788229,10.1
0.073068124,13.1
0.067531424,18.3
0.070571447,18.4
0.068998395,30.6
0.066320525,19.3
0.062604623,42.6
0.067693303,14.5
0.068996525,17.3
0.067624282,45.3
0.071403462,17.2
0.067492456,14.1
0.069936484,12.7
0.07273014,15.5
0.070480353,23
0.079880769,10.2
0.065684982,20.3
0.065319226,19.5
0.065886788,13.7
0.065629463,17.6
0.067759452,13.9
0.066630408,17.5
0.076823641,9.8
0.07153155,15
0.070574877,9.3
0.068689572,12.5
0.07962274,13.7
0.072828023,20.1
0.066799768,16.4
0.073329976,9.7
0.069458064,13.7
0.070557579,16.4
0.069569755,13.1
0.074460664,14.2
0.069195327,14.2
0.071774515,18.9
0.06779875,19.5
0.072386399,14.3
0.068072048,21.8
0.066629186,11.2
0.077981771,7.2
0.068345163,18.7
0.055759261,12
0.069030652,33.3
0.0643978,48
0.07107729,34.3
0.064706766,17.6
0.074617183,18.4
0.065560986,23.4
0.067124925,32.1
0.071728255,20.9
0.06722588,28.4
0.080037199,14.6
0.070310998,12
0.085687954,17.2
0.069413941,16.1
0.069523223,15.8
0.092412661,12.2
0.077944161,24
0.080643991,19.2
0.072166616,17.3
0.068848689,15.7
0.072282072,7.2
0.078419988,14.5
0.080353493,9.2
0.064812356,25.7
0.076770122,5.8
0.058406679,59.2
0.070988694,10
0.079904166,10.1
0.058726182,29
0.072612692,5.1
0.072321757,15.7
0.072191503,29.9
0.080069842,8.4
0.078597141,6.1
0.069287625,28.8
0.066205554,26.8
0.074469926,9.8
0.082685192,9.8
0.068639919,34.8
0.071521289,18.8
0.050062095,54.8
0.06178213,34.4
0.071473628,4.4
0.081489193,1.2
0.07829854,14.7
0.074781305,14.2
0.091236041,5.6
0.078152283,4.3
0.07455388,13.6
0.068132703,7.2
0.064795021,25.2
0.073530369,4
0.066452008,7.4
0.076016545,13.2
0.074564534,24.5
0.066644007,12.9
0.068845959,11.3
0.070034246,8.3
0.070950666,7
0.06790393,14.9
0.075848871,4.5
0.067148329,13.2
0.082247608,9.8
0.065876663,25.6
0.07238161,5.7
0.070227169,6.3
0.07369398,6.1
0.079029329,32.7
0.081292522,29.1
0.073666552,10.6
0.066317432,13.4
0.079419539,36.5
0.065547235,15.2
0.065234412,44.5
0.069997234,6.3
0.060370909,36
0.075989507,9.9
0.061807141,13.6
0.06659147,10.9
0.06176677,18.2
0.066473127,21.7
0.067240932,15.4
0.067857686,14.3
0.071870495,13.1
0.083512102,7.3
0.083595696,9.5
0.075698797,9.7
0.063531073,6.1
0.07069389,17.8
0.075081744,17.3
0.06219979,17.3
0.08179096,14.1
0.069897154,8.6
0.075092291,14.1
0.071982583,25.4
0.077902809,11.5
0.070052613,17.4
0.064476569,14
0.076967192,15.9
0.064583121,24.3
0.063284209,11.3
0.071660592,18.5
0.064333387,13.4
0.065383116,13.9
0.066561619,18.7
0.075022437,46.3
0.071260072,5.4
0.074126574,5.3
0.076155397,6
0.073843622,6
0.066520962,8.4
0.067994174,12.7
0.07477012,16
0.068094564,13.8
0.070023778,7.8
0.070515118,6.3
0.066110165,18.7
0.064037615,11.7
0.073481594,7.8
0.060601656,5.7
0.061760729,13.5
0.070422172,23.4
0.05845239,17.7
0.062821907,32.7
0.061198181,14.4
0.07397544,7.4
0.070064197,39.8
0.067798273,7.6
0.067385062,8.9
0.07493111,17.5
0.06585551,24.5
0.066189151,8.1
0.076347025,17.8
0.080130694,18.8
0.065358754,19.8
0.071684958,19
0.063531204,10
0.075498193,12.8
0.067350583,23.2
0.066668085,21.1
0.066972978,17.5
0.060811745,31.2
0.064490916,12.8
0.064182745,13.1
0.067829051,15.6
0.066422212,8.3
0.067266576,22.7
0.065034396,11.8
0.073418725,12.4
0.075299831,3.7
0.065301949,10.9
0.073189288,6.7
0.062909388,19.1
0.077609746,12.6
0.069305975,13
0.067213168,3.8
0.077765792,16.2
0.073153668,14.6
0.066806351,22.8
0.068325362,42.1
0.076856326,16.2
0.068594606,54.8
0.072816674,9.5
0.071794499,18.6
0.068316546,20.4
0.064877849,36.5
0.066650019,20.9
0.06253353,38.7
0.084016459,15
0.073834651,18.2
0.075455489,21.1
0.07410431,12.1
0.085057302,12.2
0.064704863,33.5
0.087553905,15.1
0.071655422,14.4
0.073769389,16.2
0.069815088,24.2
0.0521265,138.4
0.071296247,17.8
0.069108421,21.1
0.069374568,11.8
0.08155233,24.3
0.075459182,10.2
0.071460016,20.7
0.072652238,17
0.068188903,33.5
0.069477636,11.1
0.076220197,10.1
0.062092805,22.9
0.070282803,27.9
0.064685357,32.1
0.066217327,24.6
0.085132062,3.4
0.066248957,9.2
0.062984922,14.4
0.070282239,22.4
0.076323735,14.4
0.08003081,15.6
0.073225728,16.9
0.070258429,16.7
0.080056248,11.2
0.07576344,8.9
0.073062339,15.1
0.076929301,30.6
0.076151228,21.3
0.068354481,15.4
0.078942095,27.7
0.070201064,25.6
0.068103368,5.2
0.092459758,12.7
0.076901721,12.9
0.067467411,14.9
0.070377311,11.2
0.073450595,9.5
0.076336725,13.4
0.072986371,13
0.066742873,21.7
0.069744624,19.4
0.066861768,21
0.07102135,54.3
0.07888868,19.7
0.081913351,24.4
0.085831133,13.5
0.089426241,14.9
0.074347938,3
0.079356791,10.9
0.073066617,13
0.080202241,6.8
